,zip_code,neighborhood,community,rent_2024,mean_rent,0br_2019,0br_2020,0br_2021,0br_2022,0br_2023,population,median_household_income,unemployment_rate,average_household_size,crime_rate,average_temp,median_age,white_population,black_population,native_population,asian_population,latino_population,rent_growth_2019_to_2020,rent_growth_2020_to_2021,rent_growth_2021_to_2022,rent_growth_2022_to_2023,predicted_growth_2023_to_2024
0,90001,Florence-Graham,Los Angeles,1333.0,1134.0,970.0,1050,1160,1240,1250,55859,57698,0.1,4.23,61.5,65.8,31.0,0.486,0.084,0.029,0.009,0.913,0.08247422680412371,0.10476190476190476,0.06896551724137931,0.008064516129032258,0.06606654123411002
1,90002,South Los Angeles,Los Angeles ,1333.0,1134.0,970.0,1050,1160,1240,1250,53150,54221,0.113,4.07,27.1,65.2,30.2,0.388,0.168,0.044,0.016,0.824,0.08247422680412371,0.10476190476190476,0.06896551724137931,0.008064516129032258,0.06606654123411002
2,90003,South Los Angeles,Los Angeles ,1329.0,1140.0,980.0,1070,1160,1240,1250,72764,51275,0.095,4.15,27.1,65.2,29.5,0.334,0.178,0.015,0.007,0.815,0.09183673469387756,0.08411214953271028,0.06896551724137931,0.008064516129032258,0.06324472939924985
3,90004,Hancock Park,Los Angeles,1657.0,1386.0,1230.0,1330,1400,1410,1560,58585,58420,0.074,2.51,27.1,65.8,35.9,0.377,0.06,0.023,0.263,0.466,0.08130081300813008,0.05263157894736842,0.007142857142857143,0.10638297872340426,0.06186455695543998
4,90005,Rampart Village,Los Angeles,1783.0,1464.0,1250.0,1390,1500,1520,1660,37987,49226,0.047,2.24,27.1,65.8,35.3,0.31,0.067,0.028,0.339,0.493,0.112,0.07913669064748201,0.013333333333333334,0.09210526315789473,0.07414382178467752
5,90006,"Byzantine-Latino Quarter, Harvard Heights, Koreatown, Pico Heights",Los Angeles ,1411.0,1192.0,1050.0,1140,1200,1240,1330,58229,47599,0.056,2.89,27.1,65.2,35.7,0.357,0.039,0.022,0.189,0.725,0.08571428571428572,0.05263157894736842,0.03333333333333333,0.07258064516129033,0.06106496078906945
6,90007,South Los Angeles,Los Angeles ,1352.0,1202.0,1070.0,1170,1240,1240,1290,40944,36326,0.125,2.86,27.1,65.2,25.2,0.439,0.102,0.023,0.209,0.539,0.09345794392523364,0.05982905982905983,0.0,0.04032258064516129,0.04840239609986369
7,90008,"Baldwin Hills, Crenshaw, Leimert Park",Los Angeles,1395.0,1172.0,1020.0,1110,1180,1240,1310,33041,57880,0.089,2.24,27.1,65.8,41.6,0.156,0.659,0.022,0.035,0.263,0.08823529411764706,0.06306306306306306,0.05084745762711865,0.056451612903225805,0.06464935692776363
8,90010,"Hancock Park, Wilshire Center, Windsor Square",Los Angeles,2183.0,1784.0,1560.0,1700,1800,1820,2040,5400,92454,0.029,1.75,27.1,65.8,33.9,0.214,0.061,0.012,0.673,0.079,0.08974358974358974,0.058823529411764705,0.011111111111111112,0.12087912087912088,0.07013933778639661
9,90011,Southeast Los Angeles,Los Angeles ,1333.0,1134.0,970.0,1050,1160,1240,1250,102308,51819,0.105,4.33,27.1,65.2,30.6,0.407,0.068,0.027,0.008,0.921,0.08247422680412371,0.10476190476190476,0.06896551724137931,0.008064516129032258,0.06606654123411002
10,90012,"Downtown Civic Center, Chinatown, Arts District, Bunker Hill, Historic Core, Little Tokyo",Los Angeles ,1745.0,1282.0,1030.0,1160,1280,1370,1570,33851,58444,0.081,1.95,27.1,65.2,35.2,0.312,0.147,0.024,0.388,0.275,0.1262135922330097,0.10344827586206896,0.0703125,0.145985401459854,0.11148994238873317
11,90013,Downtown ,Los Angeles,1895.0,1576.0,1350.0,1520,1610,1630,1770,15589,24853,0.167,1.32,27.1,65.8,43.3,0.439,0.325,0.071,0.153,0.239,0.1259259259259259,0.05921052631578947,0.012422360248447204,0.08588957055214724,0.07086209576057745
12,90014,"Downtown Historic Core, Arts District",Los Angeles ,2482.0,1952.0,1560.0,1830,2030,2080,2260,9254,26550,0.116,1.4,27.1,65.2,41.2,0.403,0.231,0.02,0.255,0.256,0.17307692307692307,0.1092896174863388,0.024630541871921183,0.08653846153846154,0.09838388599341116
13,90015,"Dowtown Fashion District, South Park-South",Los Angeles ,2573.0,1406.0,1060.0,1180,1310,1350,2130,27324,61959,0.071,1.97,27.1,65.2,32.0,0.425,0.107,0.031,0.235,0.524,0.11320754716981132,0.11016949152542373,0.030534351145038167,0.5777777777777777,0.20792229190451272
14,90016,West Adams,Los Angeles ,1482.0,1230.0,1080.0,1180,1250,1250,1390,46512,63090,0.073,2.67,27.1,65.2,35.0,0.453,0.304,0.019,0.057,0.546,0.09259259259259259,0.059322033898305086,0.0,0.112,0.06597865662272442
15,90017,Downtown Bunker Hill,Los Angeles,1568.0,1348.0,1110.0,1320,1450,1400,1460,27295,46626,0.062,2.1,27.1,65.8,32.7,0.314,0.142,0.015,0.187,0.572,0.1891891891891892,0.09848484848484848,-0.034482758620689655,0.04285714285714286,0.07401210547762271
16,90018,Jefferson Park,Los Angeles,1405.0,1184.0,1030.0,1130,1200,1240,1320,50179,58987,0.08,2.98,27.1,65.8,35.9,0.379,0.266,0.014,0.073,0.587,0.0970873786407767,0.061946902654867256,0.03333333333333333,0.06451612903225806,0.06422093591530884
17,90019,"Arlington Heights, Country Club Park, Mid-City",Los Angeles ,1660.0,1358.0,1180.0,1290,1370,1400,1550,62002,65972,0.085,2.46,54.4,65.2,38.8,0.412,0.199,0.016,0.186,0.435,0.09322033898305085,0.06201550387596899,0.021897810218978103,0.10714285714285714,0.07106912755521377
18,90020,"Hancock Park, Western Wilton, Wilshire Center, Windsor Square",Los Angeles,1759.0,1526.0,1360.0,1480,1560,1560,1670,38694,55321,0.068,2.2,27.1,65.8,36.8,0.256,0.085,0.014,0.468,0.337,0.08823529411764706,0.05405405405405406,0.0,0.07051282051282051,0.05320054217113041
19,90021,Downtown,Los Angeles,2251.0,1530.0,1050.0,1280,1600,1790,1930,5192,29659,0.133,1.73,27.1,65.8,40.0,0.393,0.239,0.036,0.074,0.48,0.21904761904761905,0.25,0.11875,0.0782122905027933,0.1665024773876031
20,90022,East Los Angeles,East Los Angeles,1329.0,1142.0,980.0,1080,1160,1240,1250,64517,65142,0.057,3.77,6.4,65.8,33.2,0.445,0.009,0.033,0.019,0.965,0.10204081632653061,0.07407407407407407,0.06896551724137931,0.008064516129032258,0.06328623094275407
21,90023,Commerce,Commerce,1333.0,1134.0,970.0,1050,1160,1240,1250,45939,52918,0.088,3.52,15.0,62.1,31.7,0.371,0.013,0.034,0.011,0.957,0.08247422680412371,0.10476190476190476,0.06896551724137931,0.008064516129032258,0.06606654123411002
22,90024,Westwood,Los Angeles ,2468.0,2018.0,1740.0,1920,2050,2080,2300,52862,74852,0.097,2.09,27.1,65.2,22.9,0.629,0.058,0.012,0.311,0.131,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
23,90025,"Sawtelle, West Los Angeles",Los Angeles,2475.0,2010.0,1720.0,1900,2050,2080,2300,45466,103511,0.069,1.99,27.1,65.8,34.8,0.693,0.047,0.012,0.265,0.127,0.10465116279069768,0.07894736842105263,0.014634146341463415,0.10576923076923077,0.07600047708061113
24,90026,Echo Park,Los Angeles ,1591.0,1298.0,1110.0,1230,1320,1350,1480,63329,80549,0.077,2.4,27.1,65.2,36.1,0.483,0.059,0.028,0.153,0.485,0.10810810810810811,0.07317073170731707,0.022727272727272728,0.0962962962962963,0.07507560220974856
25,90027,"Griffith Park, Hollywood, Los Feliz",Los Angeles ,1895.0,1566.0,1350.0,1490,1600,1620,1770,44471,86826,0.084,2.02,27.1,65.2,38.1,0.72,0.05,0.015,0.143,0.22,0.1037037037037037,0.0738255033557047,0.0125,0.09259259259259259,0.07065544991300024
26,90028,Hollywood,Los Angeles ,1931.0,1624.0,1400.0,1540,1670,1700,1810,32330,57258,0.103,1.69,27.1,65.2,36.5,0.578,0.117,0.029,0.162,0.287,0.1,0.08441558441558442,0.017964071856287425,0.06470588235294118,0.06677138465620326
27,90029,East Hollywood,Los Angeles ,1578.0,1276.0,1110.0,1210,1280,1310,1470,34695,56529,0.101,2.52,27.1,65.2,36.7,0.414,0.039,0.017,0.176,0.511,0.09009009009009009,0.05785123966942149,0.0234375,0.12213740458015267,0.07337905858491606
28,90031,"Lincoln Heights, Montecito Heights",Los Angeles,1333.0,1136.0,970.0,1060,1160,1240,1250,37333,59889,0.087,3.09,27.1,65.8,38.2,0.249,0.029,0.024,0.302,0.59,0.09278350515463918,0.09433962264150944,0.06896551724137931,0.008064516129032258,0.06603829029164004
29,90032,Monterey Hills,Los Angeles,1332.0,1154.0,1010.0,1100,1160,1240,1260,43506,76608,0.093,3.25,27.1,65.8,37.4,0.385,0.034,0.031,0.138,0.747,0.0891089108910891,0.05454545454545454,0.06896551724137931,0.016129032258064516,0.05718722873399687
30,90033,Boyle Heights,Los Angeles ,1333.0,1134.0,970.0,1050,1160,1240,1250,46081,50616,0.1,3.47,27.1,65.2,31.8,0.29,0.025,0.029,0.05,0.904,0.08247422680412371,0.10476190476190476,0.06896551724137931,0.008064516129032258,0.06606654123411002
31,90034,Palms,Los Angeles,1988.0,1652.0,1430.0,1580,1690,1700,1860,57152,97511,0.054,2.13,27.1,65.8,34.7,0.57,0.116,0.019,0.226,0.259,0.1048951048951049,0.06962025316455696,0.005917159763313609,0.09411764705882353,0.06863754122044974
